City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
168,Adrar,MR,2020-02-23 21:20:09,20.5,-10.07,85.57,9,100,9.98,overcast clouds,0.0,0.0
169,Kumbo,CM,2020-02-23 21:20:09,6.2,10.67,70.5,25,89,7.05,overcast clouds,0.0,0.0
170,Bathsheba,BB,2020-02-23 21:20:10,13.22,-59.52,82.4,74,40,13.87,scattered clouds,0.0,0.0
171,Lixourion,GR,2020-02-23 21:20:10,38.2,20.43,55.94,59,100,9.01,overcast clouds,0.0,0.0
172,Lavrentiya,RU,2020-02-23 21:20:10,65.58,-171.0,-7.56,75,0,5.14,clear sky,0.0,0.0
173,Saint-Augustin,CA,2020-02-23 21:20:10,51.23,-58.65,20.84,78,97,10.02,overcast clouds,0.0,0.0
174,Luau,AO,2020-02-23 21:20:11,-10.71,22.22,67.32,97,100,8.43,overcast clouds,0.0,0.0
175,Minsk,BY,2020-02-23 21:20:11,53.9,27.57,33.8,86,4,8.95,clear sky,0.0,0.0
176,Shelburne,CA,2020-02-23 21:20:12,44.08,-80.2,45.0,45,1,16.11,clear sky,0.0,0.0
177,Ponta Do Sol,PT,2020-02-23 21:17:05,32.67,-17.1,70.0,45,20,19.46,few clouds,0.0,0.0
178,Mackay,AU,2020-02-23 21:20:12,-21.15,149.2,79.0,94,75,10.29,broken clouds,0.0,0.0
179,Saint-Georges,GD,2020-02-23 21:19:06,12.06,-61.75,78.8,88,75,11.41,light intensity shower rain,0.0,0.0
180,Wajid,SO,2020-02-23 21:20:13,3.81,43.25,76.98,27,0,11.32,clear sky,0.0,0.0
181,Salinopolis,BR,2020-02-23 21:20:13,-0.61,-47.36,81.88,83,16,12.8,few clouds,0.0,0.0
182,Golden,US,2020-02-23 21:20:13,39.76,-105.22,43.0,63,90,8.05,overcast clouds,0.0,0.0
183,Dingle,PH,2020-02-23 21:19:54,11.0,122.67,72.07,92,58,11.05,light rain,0.31,0.0
184,Manaus,BR,2020-02-23 21:20:14,-3.1,-60.02,87.8,70,40,8.05,shower rain,0.0,0.0
185,Camacha,PT,2020-02-23 21:19:55,33.08,-16.33,68.0,82,20,14.99,few clouds,0.0,0.0
186,Basco,PH,2020-02-23 21:20:14,20.45,121.97,74.84,75,66,21.39,light rain,0.25,0.0
187,San Quintin,MX,2020-02-23 21:17:18,30.48,-115.95,60.78,70,0,20.98,clear sky,0.0,0.0
188,Saint-Francois,FR,2020-02-23 21:20:14,46.42,3.91,48.2,81,90,4.7,overcast clouds,0.0,0.0
189,Arraial Do Cabo,BR,2020-02-23 21:17:05,-22.97,-42.03,77.0,65,75,4.7,broken clouds,0.0,0.0
190,Lagoa Vermelha,BR,2020-02-23 21:20:15,-28.21,-51.53,72.48,64,7,4.38,clear sky,0.0,0.0
191,Hami,CN,2020-02-23 21:19:56,42.8,93.45,28.92,59,65,0.63,broken clouds,0.0,0.0
192,Bonfim,BR,2020-02-23 21:20:15,3.08,-59.95,96.6,34,100,10.54,overcast clouds,0.0,0.0
