City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
244,Westport,US,2020-02-22 22:14:19,41.14,-73.36,50.0,14,1,8.05
245,Ponta Do Sol,PT,2020-02-22 22:14:19,32.67,-17.1,69.01,77,20,18.34
246,Mackenzie,CA,2020-02-22 22:14:19,55.3,-123.17,33.8,47,75,8.05
247,Tiznit,MA,2020-02-22 22:14:20,29.58,-9.5,65.12,18,0,18.1
248,Steger,US,2020-02-22 22:14:20,41.47,-87.64,50.0,49,1,14.99
249,Bolshaya Dzhalga,RU,2020-02-22 22:14:20,45.97,42.7,40.82,75,100,10.25
250,Camacha,PT,2020-02-22 22:14:20,33.08,-16.33,64.4,88,40,28.86
251,Yulara,AU,2020-02-22 22:14:21,-25.24,130.99,68.0,24,0,9.17
252,Sturgis,US,2020-02-22 22:14:21,41.8,-85.42,46.99,45,1,12.75
253,Raudeberg,NO,2020-02-22 22:14:21,61.99,5.14,41.0,80,100,25.28
254,Haines Junction,CA,2020-02-22 22:14:21,60.75,-137.51,12.29,93,99,6.06
255,Tra Vinh,VN,2020-02-22 22:14:21,9.93,106.35,75.42,70,0,8.03
256,Mala,PE,2020-02-22 22:14:21,-12.66,-76.63,72.88,62,55,8.19
257,San Cristobal,VE,2020-02-22 22:14:22,7.77,-72.22,84.2,58,40,12.75
258,Vardo,NO,2020-02-22 22:10:30,70.37,31.11,33.4,82,5,25.99
259,Husavik,IS,2020-02-22 22:14:22,66.04,-17.34,21.94,87,100,10.38
260,Kavieng,PG,2020-02-22 22:14:22,-2.57,150.8,83.43,73,13,5.53
261,Nehe,CN,2020-02-22 22:14:22,48.48,124.83,1.33,87,0,4.9
262,Yining,CN,2020-02-22 22:14:22,29.04,114.56,48.49,77,54,1.66
263,Bud,US,2020-02-22 22:14:23,39.45,-86.18,50.0,26,1,9.17
264,Dustlik,UZ,2020-02-22 22:14:23,40.52,68.04,44.44,74,69,4.83
265,Tuktoyaktuk,CA,2020-02-22 22:14:23,69.45,-133.04,3.2,84,90,6.93
266,Bubaque,GW,2020-02-22 22:14:23,11.28,-15.83,79.5,71,100,19.66
267,Palu,ID,2020-02-22 22:09:26,-0.89,119.87,66.18,95,94,2.28
268,Rotenburg,DE,2020-02-22 22:14:24,53.12,9.4,48.0,81,40,18.34
269,Buchanan,LR,2020-02-22 22:14:24,5.88,-10.05,78.8,94,20,4.38
270,Furano,JP,2020-02-22 22:14:24,43.28,142.47,30.2,86,75,14.99
271,Nishihara,JP,2020-02-22 22:14:24,26.18,127.76,62.6,63,20,8.05
272,Beringovskiy,RU,2020-02-22 22:14:24,63.05,179.32,-9.99,92,18,5.1
273,San Martin,AR,2020-02-22 22:14:25,-33.08,-68.47,78.8,31,0,5.82
274,Ambilobe,MG,2020-02-22 22:14:25,-13.2,49.05,75.58,92,100,5.12
275,Aleksandrovskiy Zavod,RU,2020-02-22 22:14:25,50.92,117.94,6.15,91,100,3.6
276,Vila Velha,BR,2020-02-22 22:14:25,-20.33,-40.29,78.8,88,90,6.93
277,Maiduguri,NG,2020-02-22 22:14:25,11.85,13.16,74.82,18,6,10.78
278,Flagstaff,US,2020-02-22 22:11:18,35.2,-111.65,52.0,93,90,16.11
279,Hualmay,PE,2020-02-22 22:14:26,-11.1,-77.61,79.75,52,92,8.1
280,Roanoke,US,2020-02-22 22:11:43,37.27,-79.94,55.99,13,1,10.29
281,Maarianhamina,AX,2020-02-22 22:14:26,60.1,19.93,41.0,65,100,13.87
282,Alofi,NU,2020-02-22 22:14:26,-19.06,-169.92,80.22,88,44,10.51
283,Coxim,BR,2020-02-22 22:13:20,-18.51,-54.76,73.51,97,100,1.07
284,Cabo San Lucas,MX,2020-02-22 22:11:34,22.89,-109.91,84.2,35,40,9.17
285,Quatre Cocos,MU,2020-02-22 22:14:27,-20.21,57.76,77.0,88,40,3.36
286,Paamiut,GL,2020-02-22 22:14:27,61.99,-49.67,16.95,89,100,14.63
287,Mildura,AU,2020-02-22 22:14:27,-34.2,142.15,66.0,48,0,5.82
288,Manicore,BR,2020-02-22 22:14:27,-5.81,-61.3,76.51,95,100,3.96
289,Bitam,GA,2020-02-22 22:14:27,2.08,11.5,70.95,94,33,2.89
290,Glenn Dale,US,2020-02-22 22:14:28,38.99,-76.82,55.0,14,1,9.17
291,Puerto Escondido,MX,2020-02-22 22:14:17,15.85,-97.07,86.0,79,20,6.93
292,The Valley,AI,2020-02-22 22:14:28,18.22,-63.06,82.4,69,20,4.7
293,Pisco,PE,2020-02-22 22:14:28,-13.7,-76.22,77.0,30,20,11.41
294,Aqtobe,KZ,2020-02-22 22:14:28,50.28,57.21,8.6,84,90,2.24
295,Tandil,AR,2020-02-22 22:13:58,-37.32,-59.13,77.0,41,0,4.0
296,Tocopilla,CL,2020-02-22 22:14:29,-22.09,-70.2,71.22,56,94,9.93
297,Olavarria,AR,2020-02-22 22:14:29,-36.89,-60.32,77.76,19,0,4.05
298,Longyearbyen,SJ,2020-02-22 22:14:29,78.22,15.64,-0.4,70,20,12.75
299,Morgan City,US,2020-02-22 22:14:29,29.7,-91.21,63.0,44,1,0.85
300,Suluq,LY,2020-02-22 22:14:30,31.67,20.25,53.96,74,31,14.38
301,Olafsvik,IS,2020-02-22 22:14:30,64.89,-23.71,28.99,70,100,5.37
302,Fria,GN,2020-02-22 22:14:30,10.42,-13.58,73.78,65,2,2.89
